subject,Trial Number,Condition Index,Probe Index,Sector Index,Absolute Tilt,Probe Angle,Reaction Time
5,1,0,1,1,74.00067,41.87812,4.915885
5,2,2,1,1,70.24377,69.11151,2.45697
5,3,0,0,9,278.8093,337.8885,1.8318
5,4,1,0,4,99.03439,150.8228,3.387654
5,5,3,1,4,111.2027,148.3421,0.7168723
5,6,1,1,9,290.0418,324.7563,3.873994
5,7,2,1,8,293.0445,295.2484,3.221551
5,8,1,0,7,250.2283,255.2318,4.002746
5,9,1,0,0,65.23248,34.90158,1.721498
5,10,1,1,4,120.1739,146.8114,2.955206
5,11,3,0,4,189.3487,177.5144,4.066326
5,12,1,0,0,78.73688,33.76141,6.354111
5,13,3,1,9,296.8668,334.9531,6.349396
5,14,3,1,2,90.89563,96.04018,6.145061
5,15,1,0,1,89.30798,37.76045,3.905966
5,16,2,1,3,92.77673,138.1072,3.08848
5,17,0,0,4,163.4467,164.3016,4.365727
5,18,0,1,6,248.8233,216.2087,0.8807404
5,19,1,0,6,244.63,235.7625,8.022825
5,20,0,1,4,91.87158,147.6739,4.962655
5,21,0,0,7,261.1375,268.3835,4.466789
5,22,2,0,1,74.80194,54.22911,2.606962
5,23,3,0,1,70.63544,57.21269,3.883
5,24,1,1,4,165.5336,164.2357,3.921368
5,25,2,0,4,176.3921,166.9427,3.25519
5,26,0,1,7,259.2368,286.607,2.744617
5,27,1,0,8,270.0112,303.6439,5.154253
5,28,1,0,1,88.103,51.74031,4.537521
5,29,3,0,6,270.7055,248.0186,7.368203
5,30,1,1,6,267.1988,241.7192,7.672019
5,31,0,0,5,184.215,188.6023,4.176214
5,32,0,1,4,114.6191,150.0687,4.351833
5,33,2,1,2,64.92096,84.179,1.606518
5,34,3,1,5,210.314,198.6082,2.500412
5,35,0,0,3,112.9534,115.4149,7.213196
5,36,1,0,5,180.7886,181.3013,3.020804
5,37,0,1,3,97.43604,111.4075,4.430897
5,38,2,0,3,100.3739,114.949,5.237627
5,39,0,0,9,310.1079,337.1873,4.164872
5,40,1,0,9,323.6944,343.0021,2.23711
5,41,2,1,9,339.2443,357.0764,5.407059
5,42,2,1,1,65.37119,62.06948,3.883384
5,43,2,0,3,115.1191,114.029,2.105073
5,44,2,1,6,295.1101,247.9339,4.539536
5,45,0,1,9,344.8374,352.8217,4.380718
5,46,2,0,1,75.07397,45.8745,2.437547
5,47,3,0,9,353.7945,351.9343,11.30028
5,48,0,1,5,174.8687,184.2039,4.449699
5,49,3,0,5,196.052,204.8508,3.033868
5,50,0,0,7,213.4767,260.1851,4.066971
5,51,2,1,5,225.4909,200.837,3.856267
5,52,0,0,0,66.00757,20.59446,2.133101
5,53,3,0,2,60.29858,78.10591,1.698316
5,54,1,1,8,292.7282,290.3452,1.436692
5,55,0,1,8,318.9072,313.2577,0.933347
5,56,1,1,8,300.6243,310.1096,3.088241
5,57,3,0,1,57.13995,42.24682,1.899754
5,58,1,1,6,250.1874,235.4697,1.523078
5,59,3,1,1,72.63416,65.24589,3.500496
5,60,3,0,6,248.5518,243.1508,6.384136
5,61,0,1,9,333.7992,338.9708,3.41549
5,62,3,1,9,296.5491,332.7834,3.983432
5,63,0,0,3,132.0947,142.2088,4.380075
5,64,2,1,1,62.73685,43.2612,3.139199
5,65,0,1,7,302.4754,277.8683,6.413392
5,66,0,0,1,95.60605,41.95681,5.330309
5,67,0,0,0,309.0459,3.345483,1.598733
5,68,2,1,0,68.43011,34.50469,1.566408
5,69,1,1,4,128.2029,158.2827,3.42118
5,70,2,0,8,297.8198,317.4926,2.839913
5,71,2,1,5,263.3218,194.4554,1.857116
5,72,1,1,9,357.8608,356.5016,5.174628
5,73,1,1,4,106.5763,145.7704,1.903296
5,74,2,0,4,157.711,163.2058,4.001541
5,75,3,0,3,109.7852,109.439,3.649745
5,76,1,1,5,229.3799,203.8903,1.77325
5,77,0,0,7,244.1223,281.4253,3.766408
5,78,0,0,7,244.7201,258.619,2.397994
5,79,3,1,5,197.358,206.4511,1.882304
5,80,3,1,9,309.2281,324.5491,2.450582
5,81,0,1,0,14.0701,8.171051,3.015015
5,82,3,0,5,211.8073,204.0979,2.75013
5,83,2,1,7,290.5962,269.5607,1.271704
5,84,1,0,0,70.78867,19.83665,4.789634
5,85,3,1,2,87.20413,104.1419,10.40089
5,86,3,1,3,115.2413,119.0717,4.20033
5,87,2,1,8,340.5072,307.7637,2.28266
5,88,0,0,6,247.2353,250.9707,2.431894
5,89,1,1,6,250.6783,220.0185,4.038784
5,90,2,1,0,47.13919,33.4851,5.374202
5,91,2,0,9,3.209198,357.4344,3.136923
5,92,1,1,9,332.6608,332.7388,2.989995
5,93,3,1,1,39.48361,53.46628,1.950275
5,94,1,1,7,271.2386,263.4628,3.738422
5,95,1,0,6,242.1309,231.0497,1.137375
5,96,0,1,7,296.6224,261.9709,2.261985
5,97,0,0,3,112.6505,133.4139,1.116811
5,98,1,0,7,238.3183,263.2273,2.821802
5,99,0,0,1,111.0972,59.35662,4.598692
5,100,0,1,9,1.265839,357.1804,11.74875
5,101,2,1,9,0.446106,344.2527,6.075012
5,102,1,1,3,89.72318,114.1852,2.420307
5,103,1,1,1,75.62338,65.17373,3.205225
5,104,3,1,0,36.18384,34.88187,5.01458
5,105,0,1,1,62.49402,69.96774,5.032906
5,106,0,0,8,241.8872,307.6008,1.517054
5,107,0,0,9,280.6031,333.1392,3.40088
5,108,0,0,6,242.1457,248.2366,6.593863
5,109,2,0,2,124.5436,98.57398,5.855125
5,110,2,1,5,178.4922,189.6988,18.83965
5,111,1,0,8,270.1858,308.8055,7.189897
5,112,3,1,0,0.0892334,6.807468,3.833843
5,113,1,0,0,90.18768,25.61975,2.440406
5,114,3,1,0,8.994171,28.69675,3.783815
5,115,1,1,4,178.0016,171.9175,9.489305
5,116,0,0,3,116.2182,110.309,2.748517
5,117,3,1,5,190.078,204.7409,2.700819
5,118,0,1,5,257.4238,197.1981,4.832841
5,119,2,1,8,282.8466,301.5923,3.121636
5,120,3,0,5,235.4315,199.6238,1.333038
5,121,0,1,0,10.62033,3.659121,1.847986
5,122,2,0,6,245.1297,234.3286,1.920885
5,123,1,1,9,318.1814,344.6605,2.004776
5,124,3,1,1,65.83276,60.40414,4.282026
5,125,1,0,7,246.841,273.4514,4.071536
5,126,2,0,6,237.9136,232.7841,4.239912
5,127,1,1,7,258.7988,267.3596,1.454894
5,128,0,0,0,358.7592,9.596066,2.998364
5,129,2,0,9,353.7501,338.5313,3.105364
5,130,3,0,3,141.7297,122.8633,2.750651
5,131,2,1,1,48.55212,71.26895,6.623835
5,132,0,0,0,72.52469,31.41598,3.779
5,133,2,1,7,289.385,274.4311,2.505202
5,134,2,1,5,186.3766,187.9444,2.956661
5,135,3,1,8,289.748,294.4362,1.616748
5,136,1,0,6,237.5411,232.5768,2.554487
5,137,3,1,8,299.162,297.115,2.582026
5,138,0,1,5,210.4734,189.6834,3.296341
5,139,2,1,6,306.2387,247.9448,2.474003
5,140,1,0,7,240.15,275.3385,5.239001
5,141,0,0,4,162.7312,151.6465,4.115697
5,142,2,0,7,217.8965,263.807,4.856164
5,143,3,0,0,359.4024,1.918084,4.084005
5,144,1,1,4,132.6737,177.7558,5.656291
5,145,1,1,8,298.6633,303.9702,6.456071
5,146,0,0,8,269.2007,292.9427,1.481578
5,147,1,1,7,287.1431,269.027,2.923021
5,148,1,1,0,61.33545,35.63987,2.022006
5,149,0,0,8,290.0562,318.4367,4.597672
5,150,3,1,0,26.86639,30.5322,4.566639
5,151,0,1,9,314.467,329.2675,1.544204
