subject,Trial Number,Condition Index,Probe Index,Sector Index,Absolute Tilt,Probe Angle,Reaction Time
5,1,2,1,0,355.4944,6.61071,6.087667
5,2,2,0,8,268.1728,288.7758,5.040396
5,3,0,1,0,20.24789,33.88222,3.482333
5,4,0,1,1,56.33813,63.80596,4.63368
5,5,1,1,4,173.7409,166.4081,3.672457
5,6,2,1,5,178.3183,185.7547,5.340421
5,7,3,0,0,9.04068,21.3425,5.250189
5,8,1,1,4,127.5358,148.5618,3.239415
5,9,3,0,3,119.1274,138.0739,3.36681
5,10,0,1,4,149.4323,174.244,14.63262
5,11,3,0,4,190.8827,176.0199,2.967215
5,12,2,0,3,125.0529,113.1409,6.772448
5,13,1,1,4,133.8273,171.8927,3.238793
5,14,3,1,0,356.4669,5.188148,5.034118
5,15,1,1,1,44.01309,41.85232,2.489719
5,16,2,1,9,359.1296,346.9138,4.007787
5,17,3,1,6,236.03,251.3315,4.333159
5,18,1,0,1,80.5426,63.39023,4.771587
5,19,2,0,9,336.5365,352.8787,4.537694
5,20,0,0,9,341.8837,358.1512,9.08304
5,21,0,0,1,53.90839,40.52088,3.963182
5,22,0,1,3,114.068,128.3173,2.882194
5,23,0,0,3,48.87695,124.5614,3.681498
5,24,0,1,0,29.32281,30.34664,4.314776
5,25,2,0,3,119.3866,110.4231,2.341405
5,26,0,1,4,27.79843,167.0595,6.548596
5,27,2,0,1,74.89258,44.02091,5.055015
5,28,1,1,4,181.4351,176.8805,3.638144
5,29,0,0,2,61.06378,87.93655,2.866239
5,30,3,0,6,236.7968,227.925,1.216008
5,31,2,1,7,308.263,267.4739,5.205684
5,32,3,0,6,242.8102,244.3614,1.115699
5,33,3,0,0,17.69006,19.01137,4.016418
5,34,0,1,4,139.9705,157.1884,3.23254
5,35,0,1,3,120.1813,122.7137,4.548833
5,36,2,0,9,297.7765,326.1359,2.741185
5,37,3,1,7,265.4005,259.0528,3.766547
5,38,2,1,3,78.33701,127.3695,2.871965
5,39,3,0,5,227.2867,197.6547,2.716436
5,40,3,0,4,133.6052,144.7061,4.032768
5,41,1,0,6,233.6029,217.6362,2.690746
5,42,0,0,6,243.8894,226.7334,6.225679
5,43,0,1,7,304.818,260.6208,2.617377
5,44,3,1,3,115.6609,117.5843,2.850313
5,45,3,0,2,91.73511,95.53258,3.700625
5,46,0,0,4,108.4715,164.3841,3.016283
5,47,3,1,0,13.06744,17.40536,2.70058
5,48,1,0,5,224.846,210.2679,1.537743
5,49,0,0,7,246.6419,259.125,1.967479
5,50,0,1,5,290.0171,197.0189,9.312783
5,51,1,1,1,59.60712,50.59374,0.9744461
5,52,2,1,0,3.188019,14.96362,1.638894
5,53,3,1,8,322.8206,322.3842,3.850518
5,54,0,1,0,348.528,20.788,1.645176
5,55,3,1,1,39.90283,50.48907,3.066418
5,56,0,0,1,100.5482,64.91969,1.367981
5,57,0,0,8,290.7568,307.3831,4.249636
5,58,1,1,6,260.1014,226.7003,2.00523
5,59,1,1,4,125.4671,156.5906,1.973197
5,60,3,0,1,54.5842,46.98874,3.100559
5,61,2,1,5,347.4709,187.8865,6.339437
5,62,3,0,4,158.762,165.0492,4.515842
5,63,0,1,9,341.2599,354.5633,3.334475
5,64,0,0,6,215.8913,226.7691,5.782535
5,65,0,1,3,74.1138,114.5323,2.064893
5,66,1,1,1,75.79105,55.95478,1.572876
5,67,2,1,4,88.36096,144.6774,5.791001
5,68,0,0,7,245.1879,283.3694,5.215977
5,69,2,1,9,290.3055,324.0607,3.322191
5,70,0,1,0,6.607147,13.27474,4.366741
5,71,1,1,5,185.6808,194.565,4.855774
5,72,2,0,0,10.22211,1.00258,1.506568
5,73,1,1,0,17.24036,29.4336,4.304938
5,74,3,0,6,229.2899,230.6497,5.281365
5,75,0,1,0,41.15097,35.52111,2.933273
5,76,0,1,6,290.7733,233.7343,3.316674
5,77,0,0,0,357.2278,7.964371,6.449842
5,78,1,0,6,226.69,236.1134,4.55464
5,79,2,1,2,66.84009,107.287,2.473776
5,80,2,0,9,307.8109,353.7518,2.771174
5,81,1,0,9,241.8615,336.0668,2.855475
5,82,0,1,6,273.387,223.5018,1.799559
5,83,1,1,4,172.3602,175.3661,3.521448
5,84,0,1,3,84.57385,139.8673,3.082858
5,85,0,1,0,33.11496,21.74703,2.699106
5,86,2,1,7,289.4867,263.4678,4.772341
5,87,0,1,7,287.0142,268.462,2.832053
5,88,2,1,0,354.3955,2.557158,4.773939
5,89,3,0,0,10.79492,16.37741,2.05076
5,90,2,1,7,296.6097,282.985,2.839536
5,91,3,1,1,56.85913,58.28677,1.700226
5,92,0,0,5,182.7511,194.6901,3.98166
5,93,1,0,0,71.9328,26.55777,1.622263
5,94,2,1,7,292.4125,254.4485,2.887651
5,95,1,1,8,288.1812,323.3126,3.721198
5,96,0,0,8,244.1725,294.0938,2.90023
5,97,0,0,7,262.6754,270.1671,0.8643454
5,98,2,1,5,273.9037,213.7245,4.606891
5,99,3,0,2,103.8616,99.63493,3.916927
5,100,3,0,3,124.0959,111.5076,1.400521
5,101,0,1,7,293.8624,267.9969,1.866967
5,102,2,0,6,223.8224,249.4075,4.623987
5,103,1,0,8,248.3116,298.7245,3.47361
5,104,1,1,2,93.8345,101.3018,3.888938
5,105,3,0,5,238.8603,200.9282,4.066155
5,106,0,1,3,81.11813,142.7061,3.183893
5,107,2,1,1,84.80869,61.17463,4.040551
5,108,2,0,0,2.606812,10.59399,3.766462
5,109,2,0,9,354.2165,353.3654,3.024008
5,110,0,1,4,88.83551,158.4942,4.79938
5,111,2,1,5,264.1066,192.2361,2.122432
5,112,2,1,4,95.10889,161.0679,1.905255
5,113,1,0,8,271.5673,304.7585,4.15447
5,114,1,1,3,108.2692,132.6337,4.537748
5,115,0,0,0,113.2857,26.86519,3.699201
5,116,0,0,8,264.9383,311.4561,3.165113
5,117,2,0,2,104.203,94.7759,2.722118
5,118,2,1,6,291.947,231.9878,2.087868
5,119,1,1,5,239.9884,212.3079,2.501069
5,120,1,0,4,120.1397,170.5489,3.25495
5,121,2,1,3,113.726,121.9359,3.306397
5,122,3,1,7,292.4338,272.7734,4.33404
5,123,1,0,3,130.9245,142.9826,3.655652
