subject,Trial Number,Condition Index,Probe Index,Sector Index,Absolute Tilt,Probe Angle,Reaction Time
6,2,1,1,0,359.5522,4.60022,5.189932
6,3,0,1,7,282.8708,261.5394,4.664806
6,4,3,0,1,39.72604,49.10069,3.546593
6,5,0,1,4,111.3091,157.5378,12.48184
6,6,0,0,0,43.24048,22.00075,2.933437
6,7,0,0,9,353.3804,358.0919,8.218227
6,8,1,1,0,12.78143,9.966159,7.17241
6,9,0,1,5,194.2924,198.1732,7.317507
6,10,0,1,1,45.01199,46.65053,1.850168
6,11,1,1,0,50.25494,18.5326,2.805604
6,12,2,1,2,59.75043,74.63966,2.470115
6,13,3,0,2,89.41714,75.31378,4.634136
6,14,3,1,5,194.5345,203.3988,4.716908
6,15,2,0,2,95.71143,92.19796,3.241264
6,16,1,0,6,228.3683,238.3208,2.206957
6,17,1,1,6,223.3143,238.3856,5.674573
6,18,2,0,5,196.5058,204.796,3.454307
6,19,1,0,1,91.19394,50.90432,3.73692
6,20,3,1,2,88.19952,102.4161,7.684134
6,21,3,0,4,135.706,165.1613,7.784206
6,22,0,1,6,292.1327,236.3816,3.881302
6,23,3,0,2,100.9969,107.1314,5.233561
6,24,3,0,2,84.62271,74.80383,4.834033
6,25,1,0,0,70.3324,21.51238,4.04035
6,26,3,1,4,173.6946,169.5179,5.032755
6,27,2,1,9,328.3688,337.2742,5.622563
6,28,1,1,3,116.135,129.7294,4.289831
6,29,2,1,9,323.8967,340.8608,3.188028
6,30,0,0,5,176.7956,186.4395,5.831855
6,31,1,0,5,189.0088,192.0154,3.471806
6,32,0,1,8,300.7555,313.9241,3.916725
6,33,3,1,9,307.2022,337.2233,4.050916
6,34,1,0,2,108.5983,79.60516,3.939342
6,35,0,1,6,268.8406,244.4591,3.293637
6,36,0,1,6,278.1539,246.1972,3.550708
6,37,1,0,8,271.2876,294.4744,5.422968
6,38,2,1,0,43.46692,31.72264,3.620239
6,39,0,0,8,262.5884,304.9785,3.514826
6,40,3,1,4,171.2622,156.6282,4.284243
6,41,2,0,8,268.7136,306.5741,4.189861
6,42,1,1,4,167.6431,162.248,3.632957
6,43,0,1,1,53.19656,37.16377,2.166479
6,44,2,0,8,295.7985,309.8126,17.7887
6,45,1,1,3,111.1746,125.3819,3.656653
6,46,1,1,5,194.7557,191.3939,3.93835
6,47,1,0,5,199.2799,195.5728,3.638662
6,48,1,1,2,74.64954,78.69078,6.138596
6,49,3,0,6,235.0451,237.0282,2.083857
6,50,0,0,2,105.7533,81.76897,3.345512
6,51,0,0,5,218.2309,214.7814,1.782775
6,52,0,0,7,247.1562,273.3428,2.281655
6,53,2,0,9,352.0392,352.254,3.538684
6,54,0,0,8,268.2148,315.56,5.083383
6,55,0,0,8,266.8952,308.7851,4.442908
6,56,1,0,9,280.1061,331.8912,4.688755
6,57,1,1,8,300.8569,323.411,8.022905
6,58,0,1,0,358.0056,11.47127,6.500306
6,59,0,0,3,124.0389,115.206,4.830976
6,60,1,1,0,357.3632,2.547343,8.422033
6,61,0,1,7,299.0229,278.0232,2.18381
6,62,1,0,8,268.8875,319.4216,2.904971
6,63,2,1,7,298.8204,263.2434,3.423653
6,64,2,1,8,303.9633,316.9749,3.60663
6,65,0,0,0,89.04285,32.71069,2.299167
6,66,2,1,3,89.26678,120.3817,5.507173
6,67,0,1,5,216.5817,198.4719,3.098735
6,68,1,0,1,98.91098,62.47793,3.988923
6,69,0,1,8,298.1281,293.0147,3.631779
6,70,2,1,9,357.2388,355.7848,2.621255
6,71,1,1,7,270.2391,253.7163,3.854559
6,72,3,1,5,178.7332,188.182,11.41691
6,73,2,1,3,104.1906,127.724,3.538888
