subject,Trial Number,Condition Index,Probe Index,Sector Index,Absolute Tilt,Probe Angle,Reaction Time
3,1,0,1,6,267.299,231.935,2.632459
3,2,3,0,2,83.09296,72.58083,4.667246
3,3,2,1,8,316.1285,302.3307,3.339775
3,4,1,1,6,264.3199,234.6312,3.206034
3,5,3,1,2,95.78033,102.3654,1.833649
3,6,2,1,8,321.6348,293.9736,1.388302
3,7,3,0,4,180.9794,177.4321,4.466484
3,8,3,0,0,10.66968,34.94381,4.016727
3,9,3,0,4,152.2577,152.6321,1.933145
3,10,1,0,8,270.3761,321.1187,2.788709
3,11,2,0,0,8.376587,13.86881,3.905623
3,12,3,0,1,71.66177,64.39011,1.534555
3,13,1,0,9,350.6525,349.3953,5.30584
3,14,0,0,1,90.48471,37.7768,3.081238
3,15,1,1,0,20.07349,16.03421,3.055938
3,16,0,1,3,102.6208,126.5558,5.283004
3,17,2,1,1,60.10284,58.93896,2.756823
3,18,0,1,1,63.86273,61.87141,2.248339
3,19,3,0,5,190.1342,193.989,3.284052
3,20,3,0,4,180.2121,176.731,3.451084
3,21,0,0,4,180.4902,177.775,4.315115
3,22,3,1,8,307.4105,307.7028,1.850242
3,23,0,1,8,313.9191,295.5208,1.898559
3,24,2,0,4,160.9462,161.6096,3.304227
3,25,2,0,4,161.8067,162.0256,1.473267
3,26,0,1,4,130.2677,155.7844,4.048556
3,27,0,0,6,231.9348,243.8082,3.182364
3,28,0,0,9,349.8214,357.4419,1.515126
3,29,2,0,1,78.58057,52.23365,3.189903
3,30,1,1,9,1.046722,358.8225,1.938819
3,31,2,0,4,182.7989,179.9614,3.638825
3,32,2,0,8,278.9966,301.6566,3.704662
3,33,1,0,4,153.3565,145.9843,2.539994
3,34,3,0,3,143.8137,139.6777,2.200534
3,35,2,0,9,318.0942,327.4673,3.957723
3,36,3,0,8,294.4525,316.6748,4.434113
3,37,1,0,4,139.9591,146.5807,3.372336
3,38,0,1,6,276.3112,240.3894,2.516835
3,39,0,0,6,246.5723,245.9866,3.382562
3,40,0,1,3,88.32724,131.4616,6.132971
3,41,3,0,2,90.25531,87.32223,4.90083
3,42,1,1,9,353.9167,355.2752,2.719594
3,43,2,0,5,193.0812,192.7612,3.491507
3,44,3,0,5,194.9187,189.7502,3.217235
3,45,1,0,6,237.3449,238.8956,2.572288
3,46,2,1,7,290.1451,284.7855,2.923125
3,47,1,1,8,326.0741,309.2503,2.122618
3,48,2,0,5,199.4646,215.0535,2.371818
3,49,0,1,5,250.4229,211.7719,4.215426
3,50,2,0,5,189.6916,192.6708,3.906304
3,51,1,1,5,201.7648,208.1529,3.521186
3,52,3,1,8,297.1102,304.9542,2.967344
3,53,0,1,2,71.6369,77.63548,2.99925
3,54,1,1,9,333.7789,343.4269,1.939018
3,55,0,0,0,75.29633,30.40524,4.597871
3,56,0,0,4,168.5809,162.5316,3.082632
3,57,2,1,8,293.3202,301.8273,3.773173
3,58,2,1,7,285.1931,266.3607,3.204473
3,59,1,1,6,238.3395,242.0541,3.473501
3,60,3,0,7,292.9935,287.0764,4.184106
3,61,1,1,7,268.6239,256.743,3.023531
3,62,1,0,6,215.4362,218.8725,2.972856
3,63,2,1,0,32.83002,29.58451,2.230073
3,64,2,1,7,277.6854,270.5294,3.490128
3,65,2,1,3,110.7215,123.8722,5.105509
3,66,2,1,6,281.296,244.6508,2.722496
3,67,3,1,3,99.61087,113.3829,3.032677
3,68,3,0,2,83.90256,80.05787,2.549449
3,69,1,0,6,217.7475,224.2924,3.256378
3,70,0,1,4,154.0427,153.7629,3.298992
3,71,2,0,5,180.4166,183.8139,3.10606
3,72,0,0,0,357.7164,3.215865,3.999203
3,73,1,0,9,277.8539,334.88,2.538037
3,74,0,1,4,140.3065,163.5137,2.465302
3,75,1,0,5,178.6244,186.1937,3.688653
3,76,0,0,9,281.7012,334.5188,3.064703
3,77,0,1,8,299.9344,291.077,3.515877
3,78,2,1,7,277.6326,261.8062,3.054464
3,79,3,1,3,140.211,136.3919,1.800678
3,80,0,1,3,89.29147,123.1481,3.26596
3,81,2,1,7,284.7286,268.5033,2.772782
3,82,3,1,9,358.7315,352.4899,2.783625
3,83,0,1,4,89.27301,147.475,6.115222
3,84,1,0,6,237.3166,241.0132,4.123107
3,85,3,1,7,292.3472,284.3214,1.533906
3,86,0,1,8,307.6835,295.1437,3.815324
3,87,3,1,5,180.9148,194.325,3.366872
3,88,3,0,8,284.5197,290.5824,2.783737
3,89,2,1,5,208.1415,214.9509,5.805731
3,90,2,0,4,170.633,164.9061,2.954715
3,91,3,1,6,243.1154,241.6083,1.750464
3,92,2,0,0,40.40796,21.75249,3.105953
3,93,3,0,3,119.7511,134.1504,4.582127
3,94,0,0,9,278.1578,341.2876,1.833265
3,95,3,1,8,295.9434,295.221,3.400728
3,96,0,1,8,320.6035,294.997,3.850688
3,97,0,0,3,145.837,109.0489,3.898901
3,98,1,1,1,62.75064,71.63258,3.105227
3,99,1,1,7,296.6412,279.651,2.821879
3,100,1,1,5,178.0086,187.9744,3.907365
3,101,3,1,1,81.68259,71.81353,4.167703
3,102,3,0,0,14.05081,26.81016,2.934736
3,103,1,0,7,244.8321,266.8177,1.756218
3,104,1,0,1,96.38226,71.68777,3.406847
3,105,0,1,5,191.0189,191.9379,2.499625
3,106,1,0,7,251.2167,255.1523,3.021196
3,107,0,1,7,280.5851,270.5637,1.798823
3,108,3,0,6,212.9879,217.9198,4.483658
3,109,0,1,6,270.6444,220.092,1.998392
3,110,0,0,3,147.1306,139.3859,1.782812
3,111,3,0,6,214.3684,232.2836,4.650751
3,112,2,0,4,152.158,158.6567,3.090231
3,113,1,0,5,188.4795,185.588,3.221099
3,114,0,0,4,180.1185,168.494,16.92974
3,115,2,1,6,272.0765,243.1256,5.906078
3,116,2,0,5,191.9191,197.1125,2.204176
3,117,2,1,1,51.63641,55.78492,4.340657
3,118,2,0,0,359.1948,4.735871,2.072664
3,119,2,1,0,30.97546,29.0789,2.755333
3,120,1,1,6,250.2875,231.2112,2.103918
3,121,0,0,4,168.8831,154.8732,4.531604
3,122,2,0,6,228.9277,242.762,2.305795
3,123,3,0,9,341.1365,331.5855,1.716469
3,124,2,1,7,278.0117,281.8416,4.555693
3,125,2,0,3,133.2115,136.8178,5.556051
3,126,2,1,7,280.8831,264.3361,5.573187
3,127,2,1,1,37.1416,36.02152,2.770921
3,128,1,0,5,190.5397,194.2233,4.319399
3,129,0,1,9,359.3653,359.3383,4.66492
3,130,3,1,7,273.2627,268.5757,4.415716
3,131,2,1,0,39.76651,32.61546,3.539299
3,132,1,0,6,225.1382,248.9306,4.252888
3,133,2,1,7,322.7896,275.6684,3.672953
3,134,2,1,1,50.72003,42.58963,5.605729
3,135,2,1,4,172.942,168.4353,2.872543
3,136,2,1,9,348.3923,328.4111,2.987728
3,137,2,1,5,185.0316,193.3465,1.656101
3,138,2,0,1,82.67987,69.10454,2.173566
3,139,2,1,1,71.51816,60.76274,4.32216
3,140,1,0,5,180.3479,181.1992,3.789412
3,141,3,0,3,106.4456,141.4582,3.166018
3,142,2,1,4,168.806,170.9033,1.589717
3,143,0,1,5,258.0305,200.6897,2.766171
3,144,2,1,5,187.4221,186.5588,2.305089
3,145,3,0,6,255.1076,245.6735,2.033143
3,146,1,0,6,223.6311,248.6847,4.722417
3,147,0,1,0,36.11646,27.39086,4.900015
3,148,3,1,9,338.1309,328.5964,3.349639
3,149,3,1,6,206.4195,218.4879,2.850077
3,150,3,0,9,358.0761,347.6261,6.067582
3,151,3,0,9,359.1474,357.0565,3.450516
3,152,2,0,4,179.5778,175.19,2.573114
3,153,0,0,0,88.22717,28.22786,2.482553
3,154,1,1,9,338.2311,327.7623,4.940104
3,155,3,1,3,133.2242,137.4953,6.650753
3,156,3,1,9,345.9231,340.9369,3.317322
3,157,1,1,7,259.1218,256.9725,3.406602
3,158,1,1,2,83.87646,76.17544,3.905338
3,159,3,0,8,286.8593,294.5641,3.0172
3,160,2,0,4,176.2647,161.6437,6.316899
3,161,2,1,6,263.3774,219.1422,2.889371
3,162,0,1,3,90.19214,108.2204,2.266196
3,163,0,1,7,284.7685,273.7715,2.26472
