subject,Trial Number,Condition Index,Probe Index,Sector Index,Absolute Tilt,Probe Angle,Reaction Time
4,0,2,1,9,338.7987,346.8698,4.738959
4,1,2,1,5,271.1215,182.7016,3.588279
4,3,3,1,3,163.151,139.8602,4.166202
4,4,3,0,2,40.73697,72.90944,5.06862
4,5,2,1,1,33.75552,44.68358,3.55159
4,6,2,0,1,28.20496,39.9842,2.522324
4,7,0,1,3,90.35974,141.5456,3.781933
4,8,3,1,1,30.81531,37.22129,4.284039
4,9,1,0,4,179.1014,175.0674,2.772401
4,10,0,0,0,88.80963,9.862209,6.499082
4,11,1,0,4,176.2493,168.0473,3.473108
4,12,3,0,8,295.6118,311.4982,4.26686
4,13,0,0,6,221.5473,239.3026,3.632589
4,14,2,0,3,148.4707,143.6093,6.005985
4,15,3,1,2,91.78922,89.381,3.967254
4,16,2,0,3,157.7305,123.2827,4.50653
4,17,1,1,5,212.2421,210.2971,4.822056
4,18,0,1,5,266.9854,185.6115,3.648608
4,19,1,0,8,268.2628,317.6848,3.505571
4,20,1,1,0,33.11374,23.61255,3.576554
4,21,1,1,5,182.73,188.2579,3.355168
4,22,1,0,9,271.1606,346.0953,3.404619
4,23,0,0,9,270.799,333.8611,3.2824
4,24,2,1,8,320.8629,315.8513,2.306424
4,25,2,0,6,225.634,218.4496,4.771971
4,26,3,0,5,202.2947,196.5319,5.266313
4,27,1,1,2,77.58356,89.63456,3.021479
4,28,3,1,5,225.1741,212.0365,3.134087
4,29,0,1,7,288.6726,265.9338,4.14963
4,30,1,1,3,85.45883,119.212,3.406552
4,31,2,0,8,274.7755,306.8073,4.505594
4,32,0,0,7,247.9577,287.1762,3.899955
4,33,3,1,9,350.5111,358.2411,4.300734
4,34,1,1,6,217.701,221.0346,4.038884
4,35,3,1,9,339.9364,353.0608,2.616819
4,36,0,0,4,166.4914,157.2529,3.615502
4,37,3,1,9,346.7751,341.6964,2.800634
4,38,1,0,8,272.139,303.4666,2.755306
4,39,2,0,8,276.6374,311.1424,7.387811
4,40,2,1,6,286.9249,250.1033,2.473305
4,41,2,0,7,258.4761,270.6985,10.27079
4,42,1,1,5,219.8841,212.3489,1.940233
4,43,0,1,9,350.686,344.7812,2.916042
4,44,1,1,7,282.3613,272.3494,4.18926
4,45,0,0,5,177.7332,183.9301,5.333846
4,46,1,0,7,234.97,273.7747,3.338886
4,47,0,1,1,59.91589,44.37477,4.617126
4,48,0,0,9,269.3079,350.619,3.432838
4,49,2,1,8,329.1503,295.6583,1.522206
4,50,1,1,8,321.9766,315.4102,3.220228
4,51,0,1,8,326.7831,318.9903,2.133213
4,52,2,0,0,12.70947,5.872604,2.471788
4,53,3,1,8,290.1133,293.3391,3.20065
4,54,2,0,4,156.8706,152.2583,5.3393
4,55,0,0,4,167.4361,158.7242,3.549094
4,56,2,0,6,238.9184,245.2082,3.505538
4,57,2,1,6,278.0629,237.037,2.237972
4,58,0,1,9,356.7144,355.6384,2.431202
4,59,0,1,7,286.3633,265.2899,3.96681
4,60,0,0,2,112.9407,76.81194,1.482219
4,61,3,0,7,269.2502,268.4107,2.549904
4,62,3,1,2,95.06195,97.17516,3.167277
4,63,1,0,9,273.1545,339.1827,4.456953
4,64,0,1,2,42.15695,84.19093,4.033802
4,65,0,0,6,202.7654,220.3666,4.499589
4,66,0,0,6,199.8697,227.0759,4.032376
4,67,1,1,8,323.2225,290.8646,2.95413
4,68,2,1,5,274.218,210.5709,2.888775
4,69,2,0,4,163.5047,159.2628,3.490903
4,70,3,0,1,46.27695,38.0719,3.63319
4,71,1,0,1,90.59439,59.82607,3.723681
4,72,3,0,3,117.8496,114.9021,2.815446
4,73,0,0,6,215.151,236.3432,1.063525
4,74,1,0,0,86.87469,35.14288,4.454476
4,75,1,0,1,90.15622,37.24804,3.271526
4,76,0,1,6,267.0374,232.1012,2.650614
4,77,3,1,2,115.8419,101.4884,4.250594
4,78,2,0,0,357.8751,2.009983,5.655515
4,79,3,1,0,0.9382019,5.690768,3.484321
4,80,3,0,3,141.2669,133.5193,1.596936
4,81,2,1,8,334.4586,298.9848,3.572135
4,82,0,1,4,92.20721,155.534,3.698833
4,83,2,1,7,285.9817,285.4942,3.772598
4,84,0,1,5,269.1631,206.8341,3.765418
4,85,3,0,2,113.4046,103.5871,3.583847
4,86,0,1,6,267.1646,226.3445,3.414935
4,87,0,1,0,30.35025,18.68419,2.665954
4,88,1,1,5,200.9727,209.2615,3.472201
4,89,2,0,0,0.5863037,4.247559,2.940454
4,90,0,1,1,45.33112,55.73735,3.180667
4,91,3,0,0,16.47507,22.69651,3.799521
4,92,1,0,4,166.3656,167.0365,1.771647
4,93,1,0,3,167.3482,132.0389,3.186932
4,94,3,0,6,213.1548,247.2753,3.250665
4,95,3,1,0,42.55103,25.64388,3.667288
4,96,2,1,1,49.7395,67.63187,1.890628
4,97,2,1,1,43.75455,53.21759,1.188789
4,98,2,1,8,299.1742,300.0097,3.306552
4,99,2,1,9,0.8005371,359.1109,2.972178
4,100,2,1,4,357.8355,173.3416,4.723795
4,101,2,0,6,236.0669,249.854,3.272406
4,102,0,1,0,35.18671,25.14137,3.767041
4,103,3,0,6,206.2044,238.8213,4.750668
4,104,2,0,4,168.8861,170.0717,3.658198
4,105,3,1,5,190.9352,184.0205,4.400694
4,106,2,0,8,278.5502,298.35,3.688734
4,107,2,1,1,54.33557,40.60839,2.755634
4,108,0,0,5,180.6708,191.9125,3.700436
4,109,0,0,8,267.7382,318.7701,3.4844
4,110,3,0,1,78.13431,66.12626,3.147349
4,111,0,1,2,53.74295,86.50534,3.231058
4,112,2,1,6,274.4403,228.1829,3.106674
4,113,0,1,2,60.04178,77.24849,5.049716
4,114,2,1,5,273.8203,206.0824,5.206531
4,115,2,0,6,225.0438,222.8511,3.271962
4,116,0,0,9,278.6529,334.3353,6.319962
4,117,3,0,9,332.6168,327.5031,2.199908
4,118,3,0,9,345.2904,324.3017,3.966121
4,119,1,1,8,310.0327,301.0864,4.153945
4,120,0,0,2,91.14084,74.78721,5.48364
4,121,2,0,7,267.448,273.42,2.388054
4,122,0,0,2,148.2657,91.38785,2.14973
4,123,1,0,1,84.8161,41.63173,5.472668
4,124,2,0,4,174.6749,164.5277,1.973206
4,125,0,0,1,93.03461,62.16347,3.713208
4,126,1,1,3,93.08661,115.6832,3.805818
4,127,0,1,7,325.9879,266.0195,2.232221
4,128,2,1,1,42.6199,46.64214,1.990839
4,129,0,0,2,148.3971,92.9175,3.116347
4,130,2,0,2,101.4523,99.20319,4.023554
4,131,2,1,6,275.35,230.3229,4.421291
4,132,3,0,8,300.1417,305.4662,4.550477
4,133,2,1,8,334.9072,310.104,3.306428
4,134,2,1,8,330.337,292.7667,2.572237
4,135,1,1,6,259.5828,235.112,2.155868
4,136,1,1,7,271.8936,276.056,4.522859
4,137,1,1,2,86.6344,103.3109,3.255178
4,138,1,1,0,355.0824,9.633068,3.123218
4,139,3,0,8,309.8095,301.425,2.749898
4,140,1,1,0,20.1402,31.40973,2.468618
4,141,0,0,0,86.60013,35.39917,1.645421
4,142,2,0,1,76.67413,62.20446,3.719671
4,143,0,1,4,89.27557,162.134,1.183338
4,144,2,1,9,344.588,330.9182,3.60737
4,145,0,1,4,86.39963,173.2436,3.748122
4,146,1,1,8,296.9783,290.1414,1.354254
4,147,1,1,3,126.344,129.0889,4.404374
4,148,0,1,5,265.1303,185.8044,2.480856
4,149,3,0,5,195.1118,215.6675,3.800312
4,150,2,0,2,85.33508,82.2553,3.0554
4,151,0,1,3,60.59705,125.6932,1.016645
4,152,2,0,5,191.3306,203.1577,3.223165
4,153,3,0,9,312.5313,325.9607,4.099753
4,154,2,1,5,11.97321,180.6171,3.12197
4,155,3,0,5,190.9867,200.6231,1.849659
4,156,0,1,9,348.2066,352.5335,6.615137
4,157,2,0,7,243.2729,257.8926,4.49047
4,158,2,0,6,221.1942,243.7981,6.539669
4,159,1,0,6,209.6741,221.1705,2.456539
4,160,1,0,5,188.0288,215.2503,3.223095
4,161,2,1,3,73.15143,111.1823,1.223894
4,162,3,1,5,201.3466,214.8745,6.550815
4,163,3,1,5,209.9346,205.9802,5.683917
4,164,1,1,7,265.9518,255.0187,3.505689
4,165,3,1,4,152.8401,163.8595,2.467273
4,166,0,0,5,180.7398,200.809,3.698254
4,167,1,1,0,2.129669,2.01079,4.104696
4,168,2,0,2,86.1427,74.16573,4.656089
4,169,2,1,5,0.1588135,182.6331,4.005127
4,170,1,0,3,144.2479,114.8584,2.539382
4,171,0,1,7,303.4688,275.0498,1.050178
4,172,0,1,1,51.48846,67.87283,2.583375
4,173,2,0,8,283.6237,310.3671,1.38926
4,174,0,1,2,41.75659,79.54307,2.148973
4,175,3,0,5,178.6918,187.0454,3.350672
4,176,3,0,2,84.9726,75.50636,2.983093
4,177,2,1,3,46.85254,114.4442,2.089881
4,178,0,1,7,312.0714,252.5162,3.76779
4,179,2,1,9,358.9197,354.5732,2.255525
4,180,0,1,5,275.8885,204.3212,2.881589
4,181,1,1,3,90.87061,109.5691,5.739064
4,182,3,0,1,48.84058,63.38552,4.134117
4,183,2,0,6,210.048,251.8708,3.92379
4,184,3,0,7,278.751,285.4356,1.767153
4,185,0,0,5,181.1347,193.8928,3.951424
4,186,2,0,5,179.0445,192.0089,2.888076
4,187,3,1,8,323.9176,321.4046,2.831899
4,188,1,0,3,144.1144,138.8261,1.887902
4,189,3,1,7,284.5489,274.4292,5.648496
4,190,2,1,9,342.3573,336.4038,3.971552
4,191,2,0,9,325.2292,327.5204,1.437312
4,192,0,0,9,268.9951,326.4252,2.282313
4,193,2,1,8,352.407,322.5133,3.3225
4,194,3,0,3,158.5365,138.8356,2.466589
4,195,3,0,0,8.43512,14.011,2.331653
4,196,2,1,0,31.24237,34.64026,3.705572
4,197,3,0,1,35.48154,67.34678,6.199592
4,198,3,1,3,161.5357,129.5807,4.61648
4,199,1,1,1,43.68951,63.95244,2.920547
4,200,0,0,8,267.5731,302.7608,3.43102
4,201,0,0,7,257.558,286.9722,2.398198
4,202,3,0,9,337.9975,349.3292,2.150492
4,203,1,0,0,86.93829,1.059043,2.503885
4,204,1,1,5,202.9711,215.2774,3.120803
4,205,3,0,2,119.3424,100.4895,2.584755
4,206,2,0,0,17.53732,23.85467,2.972875
4,207,3,0,0,11.79416,25.64363,3.666471
4,208,2,1,5,264.6349,190.6429,3.256378
4,209,3,1,4,168.0374,153.7515,5.533326
4,210,3,1,2,91.48663,89.22253,2.196897
4,211,0,1,2,67.27628,107.7307,3.331345
4,212,2,1,5,10.98288,184.0509,0.9843189
4,213,1,0,0,86.22382,18.5176,2.955945
4,214,2,1,6,266.7747,223.8374,3.404067
4,215,3,1,7,274.34,257.7393,3.315274
4,216,2,0,1,64.8674,49.97962,2.804289
4,217,0,0,3,151.7453,124.1409,1.448153
4,218,3,0,1,36.9162,38.01092,2.516425
4,219,2,1,4,87.12848,159.4327,4.005353
4,220,2,1,5,268.2717,200.0105,2.389457
4,221,1,0,6,230.9874,234.7883,4.904864
4,222,3,0,5,179.7903,185.2257,3.967307
4,223,1,0,8,258.2082,293.6495,6.221519
4,224,0,0,1,88.73846,49.96292,4.965256
4,225,3,0,1,34.16946,37.53689,6.430794
4,226,1,1,0,31.09259,33.72494,4.941381
4,227,3,0,0,2.614349,0.3399753,4.60125
4,228,0,0,2,98.76123,75.69164,3.482622
4,229,0,1,4,273.4585,171.6413,2.597134
4,230,1,1,9,0.9310303,354.4254,5.339592
4,231,1,0,3,127.2144,124.2189,4.606219
4,232,1,0,9,267.5974,350.2582,3.154996
4,233,0,1,7,306.7615,285.3585,2.15142
4,234,3,1,4,177.4932,173.8811,3.217165
4,235,3,1,1,67.25064,39.92915,2.132773
4,236,3,1,2,91.7529,93.50323,1.33547
4,237,3,0,6,230.1722,240.4738,2.999908
4,238,3,0,5,176.788,192.3986,2.483214
4,239,1,0,1,114.7614,69.15502,3.42408
4,240,0,1,8,318.3268,290.6272,2.899125
4,241,2,0,1,76.7366,56.86943,2.336454
4,242,0,1,4,87.03271,158.5775,3.165302
4,243,0,0,3,172.6645,143.7815,4.917003
4,244,0,1,9,313.1481,328.0667,4.36502
4,245,0,0,0,10.57697,7.64605,2.183331
4,246,0,0,7,209.6833,267.3414,3.59931
4,247,0,1,5,269.7703,208.071,2.01511
4,248,3,0,4,171.9056,166.4801,2.499887
4,249,1,1,5,178.3213,183.9744,2.622129
4,250,0,1,3,72.26007,111.3853,1.733867
4,251,3,0,2,84.77792,90.93485,4.683943
4,252,0,0,0,87.41666,34.71091,3.732242
4,253,0,0,1,95.17004,62.37274,4.364794
4,254,0,1,6,284.3942,240.4437,4.265224
4,255,2,1,0,28.26196,29.28198,1.673344
4,256,2,1,5,269.0593,201.8028,4.238443
4,257,1,0,3,148.9713,138.8967,1.240518
4,258,1,0,8,264.1082,314.2445,3.604597
4,259,3,0,0,5.681488,10.13092,3.766509
4,260,3,0,7,270.9727,270.3505,3.212371
4,261,2,0,9,328.7302,352.02,4.920428
4,262,1,0,7,244.2614,270.0178,3.855533
4,263,2,0,8,311.2985,315.5718,2.306023
4,264,1,0,5,214.7822,211.1286,4.571456
4,265,3,0,6,246.7704,230.6355,3.767387
4,266,2,1,9,347.5156,352.855,1.95577
4,267,2,0,2,108.64,102.2918,2.288535
4,268,0,0,2,103.5085,92.3826,2.982221
4,269,0,1,1,40.0571,56.9973,3.066775
4,270,1,0,4,141.493,146.1147,3.839794
4,271,1,1,9,327.9171,345.355,3.236743
4,272,0,0,7,258.9103,283.438,3.399383
4,273,3,1,2,86.96823,90.50974,3.066318
4,274,0,1,9,356.2646,355.083,5.13218
4,275,0,1,8,323.5799,290.3099,4.232523
4,276,1,1,6,230.9774,224.0977,3.737702
4,277,3,1,5,194.5619,211.5792,1.299706
4,278,3,0,4,176.0676,172.1197,3.916353
4,279,1,0,0,86.45718,34.75971,3.420906
4,280,3,1,8,304.6086,316.6108,2.833776
4,281,1,1,2,88.98438,101.7298,3.537221
4,282,1,1,6,257.2029,230.9454,2.470928
4,283,1,1,7,271.6936,266.17,3.271927
4,284,1,0,8,259.5181,317.5028,2.82395
4,285,2,0,0,33.72635,35.99813,2.93923
4,286,1,0,2,142.1071,84.25539,2.405073
4,287,0,1,1,22.00671,46.95426,1.732149
4,288,1,0,6,206.4174,233.8507,3.371408
4,289,0,1,0,359.9114,4.560742,3.898249
4,290,3,1,3,155.3436,116.4024,3.817148
4,291,2,0,5,213.4841,203.0959,3.655312
4,292,2,0,5,177.3131,186.2809,3.138527
4,293,3,1,6,252.8928,232.848,2.350533
4,294,2,1,3,78.90707,116.3074,5.20754
4,295,1,0,5,216.8234,212.5787,2.424507
4,296,3,1,6,243.6049,224.4972,1.332951
4,297,1,1,1,46.20099,43.47452,3.318836
4,298,3,1,4,147.8482,154.4725,1.366397
4,299,0,0,4,175.9783,170.1744,4.347749
4,300,3,1,1,67.99664,71.7429,3.882962
4,301,0,1,0,21.37112,32.09039,1.580822
4,302,2,1,0,10.65903,15.04457,2.222206
4,303,3,0,6,243.6742,227.1787,2.146147
4,304,2,0,5,220.1534,198.6806,1.97247
4,305,3,0,2,94.64786,104.4737,3.297526
4,306,1,1,8,307.2737,300.0078,2.538106
4,307,1,1,8,312.3598,308.2593,4.703991
4,308,1,1,7,274.2013,274.9473,3.823729
4,309,3,0,0,37.65472,28.85734,2.63116
4,310,1,0,9,270.5408,333.0933,2.800277
4,311,0,0,3,158.3573,134.9373,4.716318
4,312,1,0,7,222.2878,279.4213,3.91636
4,313,0,0,3,125.0485,136.778,2.248458
4,314,3,0,6,256.0817,251.8813,3.100575
4,315,1,1,8,310.7078,310.8211,3.154644
4,316,1,1,1,40.85251,51.37691,1.938098
4,317,0,1,2,41.31912,84.22367,0.9986885
4,318,2,1,0,19.34787,34.98989,3.105098
4,319,0,1,9,359.8382,357.0471,3.882944
4,320,0,0,8,251.1073,299.8369,4.026982
4,321,3,1,5,179.4757,181.7326,4.467155
4,322,0,0,5,188.8959,199.4222,5.083737
4,323,2,0,5,188.8832,201.9643,1.490475
4,324,0,1,6,281.5135,234.7455,2.763652
4,325,1,1,6,268.537,251.5919,4.473269
4,326,3,0,9,349.8601,337.2133,2.699893
4,327,1,0,0,9.063782,2.104384,1.754653
4,328,2,0,6,224.29,249.6129,4.170482
4,329,0,0,1,110.2994,67.51872,4.081323
4,330,2,1,9,346.5114,342.1559,2.973671
4,331,0,1,3,80.89642,125.8751,1.810797
4,332,0,0,5,199.1273,202.7705,2.77961
4,333,2,1,9,341.9424,340.7979,3.071578
4,334,0,1,4,89.27847,165.0007,2.438479
